Sample ID (Collaborator)	Sex	Population name	Superpopulation name	Population description	Sample ID (Illumina)	Sample ID (SGDP)
abh107	male	Abkhazian	Caucasus	Abkhasian in Abkhazia or Russia	LP6005442-DNA_C02	S_Abkhasian-1
abh100	male	Abkhazian	Caucasus	Abkhasian in Abkhazia or Russia	LP6005442-DNA_D02	S_Abkhasian-2
HGDP01387	female	Adygei	Caucasus	Adygei in Caucasus, Russia	NA	NA
HGDP01399	female	Adygei	Caucasus	Adygei in Caucasus, Russia	NA	NA
HGDP01382	female	Adygei	Caucasus	Adygei in Caucasus, Russia	NA	NA
HGDP01386	female	Adygei	Caucasus	Adygei in Caucasus, Russia	NA	NA
HGDP01398	female	Adygei	Caucasus	Adygei in Caucasus, Russia	NA	NA
HGDP01381	female	Adygei	Caucasus	Adygei in Caucasus, Russia	NA	NA
HGDP01383	male	Adygei	Caucasus	Adygei in Caucasus, Russia	NA	NA
HGDP01388	female	Adygei	Caucasus	Adygei in Caucasus, Russia	NA	NA
HGDP01403	male	Adygei	Caucasus	Adygei in Caucasus, Russia	NA	NA
HGDP01385	male	Adygei	Caucasus	Adygei in Caucasus, Russia	NA	NA
HGDP01397	male	Adygei	Caucasus	Adygei in Caucasus, Russia	NA	NA
HGDP01400	female	Adygei	Caucasus	Adygei in Caucasus, Russia	NA	NA
HGDP01396	male	Adygei	Caucasus	Adygei in Caucasus, Russia	NA	NA
HGDP01404	male	Adygei	Caucasus	Adygei in Caucasus, Russia	NA	NA
HGDP01384	female	Adygei	Caucasus	Adygei in Caucasus, Russia	NA	NA
HGDP01402	male	Adygei	Caucasus	Adygei in Caucasus, Russia	LP6005441-DNA_A01	S_Adygei-1
HGDP01401	female	Adygei	Caucasus	Adygei in Caucasus, Russia	LP6005441-DNA_B01	S_Adygei-2
HG02013	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02051	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01882	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01887	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01894	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01914	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02012	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02055	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01988	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01990	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01956	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01879	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01881	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01886	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02258	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02145	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01987	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02107	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02309	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02316	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02323	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02330	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02334	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02339	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02284	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02257	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02144	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02549	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02308	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02315	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02322	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02283	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02455	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02479	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02481	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02485	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02501	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02555	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02537	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02429	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02450	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02497	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02505	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02536	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02442	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01888	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01890	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01895	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01915	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01958	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01960	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01986	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01989	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01897	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01912	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02014	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01880	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01885	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01883	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02052	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02095	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02108	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02280	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02009	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02011	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02054	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02343	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02282	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02307	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02314	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02321	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02317	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02143	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02256	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02557	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02554	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02580	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02420	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02449	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02477	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02451	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02484	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02489	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02502	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02545	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02470	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02427	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02439	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02496	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02511	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02010	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01985	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01889	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01891	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01896	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01916	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01959	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG01884	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02111	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02281	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02255	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02318	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02325	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02332	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02337	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02053	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02471	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02476	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02558	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02577	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02508	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02541	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02546	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02419	female	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02433	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
HG02445	male	African Caribbean	Africa	African Caribbean in Barbados	NA	NA
NA19836	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA19901	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA19913	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA19918	male	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA19920	male	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA19982	male	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20129	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20282	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA19704	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA19711	male	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA19828	male	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA19835	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA19900	male	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20287	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA19917	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20294	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA19924	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20299	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20128	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20274	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20314	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20279	male	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20281	male	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20321	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20340	male	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20357	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA19703	male	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20298	male	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20318	male	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20320	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20332	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20351	male	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20356	male	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA19705	male	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA19712	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA19700	male	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA19914	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA19919	male	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA19921	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA19983	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20276	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA19818	male	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA19902	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20358	male	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA19625	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA19702	male	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA19707	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20334	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20339	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20346	male	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA19834	male	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA19904	male	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA19909	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA19916	male	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA19923	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20127	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20278	male	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20348	male	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20355	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20362	male	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20317	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA19701	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA19713	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20359	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20412	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA19819	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA19908	male	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA19922	male	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA19984	male	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20126	male	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20289	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20291	male	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20296	female	African SW US	Africa	African Ancestry in Southwest US	NA	NA
NA20342	male	African SW US	Africa	African Ancestry in Southwest US	NA	NA
ALB212	female	Albanian	Europe	Albanian in Albania	LP6005677-DNA_B01	S_Albanian-1
Ale22	male	Aleut	Central Asia and Siberia	Aleut in Russia	LP6005443-DNA_A03	S_Aleut-1
Ale20	female	Aleut	Central Asia and Siberia	Aleut in Russia	LP6005443-DNA_H02	S_Aleut-2
altai363p	male	Altaian	Central Asia and Siberia	Altaian in Russia	LP6005442-DNA_F02	S_Altaian-1
NA13616	male	Ami	East Asia	Ami in Taiwan	LP6005443-DNA_G05	S_Ami-2
NA13607	male	Ami	East Asia	Ami in Taiwan	LP6005442-DNA_C07	S_Ami-1
Armenian222	male	Armenian	Caucasus	Armenian in Armenia	LP6005519-DNA_F03	S_Armenian-2
armenia293	male	Armenian	Caucasus	Armenian in Armenia	LP6005442-DNA_G02	S_Armenian-1
NA13604	male	Atayal	East Asia	Atayal in Taiwan	LP6005442-DNA_E07	S_Atayal-1
IHW9193	male	Australian	Oceania	Australian in Australia	SS6004477	B_Australian-4
IHW9118	female	Australian	Oceania	Australian in Australia	SS6004478	B_Australian-3
HGDP00062	male	Balochi	South Asia	Balochi in Pakistan	NA	NA
HGDP00074	male	Balochi	South Asia	Balochi in Pakistan	NA	NA
HGDP00086	male	Balochi	South Asia	Balochi in Pakistan	NA	NA
HGDP00098	male	Balochi	South Asia	Balochi in Pakistan	NA	NA
HGDP00054	male	Balochi	South Asia	Balochi in Pakistan	NA	NA
HGDP00066	male	Balochi	South Asia	Balochi in Pakistan	NA	NA
HGDP00078	male	Balochi	South Asia	Balochi in Pakistan	NA	NA
HGDP00080	male	Balochi	South Asia	Balochi in Pakistan	NA	NA
HGDP00092	male	Balochi	South Asia	Balochi in Pakistan	NA	NA
HGDP00068	male	Balochi	South Asia	Balochi in Pakistan	NA	NA
HGDP00070	male	Balochi	South Asia	Balochi in Pakistan	NA	NA
HGDP00082	male	Balochi	South Asia	Balochi in Pakistan	NA	NA
HGDP00094	male	Balochi	South Asia	Balochi in Pakistan	NA	NA
HGDP00056	male	Balochi	South Asia	Balochi in Pakistan	NA	NA
HGDP00060	male	Balochi	South Asia	Balochi in Pakistan	NA	NA
HGDP00072	male	Balochi	South Asia	Balochi in Pakistan	NA	NA
HGDP00096	male	Balochi	South Asia	Balochi in Pakistan	NA	NA
HGDP00052	male	Balochi	South Asia	Balochi in Pakistan	NA	NA
HGDP00057	male	Balochi	South Asia	Balochi in Pakistan	NA	NA
HGDP00064	male	Balochi	South Asia	Balochi in Pakistan	NA	NA
HGDP00076	male	Balochi	South Asia	Balochi in Pakistan	NA	NA
HGDP00088	male	Balochi	South Asia	Balochi in Pakistan	NA	NA
HGDP00058	male	Balochi	South Asia	Balochi in Pakistan	LP6005441-DNA_C01	S_Balochi-2
HGDP00090	male	Balochi	South Asia	Balochi in Pakistan	LP6005441-DNA_D01	S_Balochi-1
HGDP01028	male	Bantu Herero	Africa	Bantu Herero in Botswana Or Namibia	LP6005443-DNA_E02	S_BantuHerero-1
HGDP01035	male	Bantu Herero	Africa	Bantu Herero in Botswana Or Namibia	LP6005441-DNA_F01	S_BantuHerero-2
HGDP01419	male	Bantu Kenya	Africa	Bantu in Kenya	NA	NA
HGDP01406	male	Bantu Kenya	Africa	Bantu in Kenya	NA	NA
HGDP01413	male	Bantu Kenya	Africa	Bantu in Kenya	NA	NA
HGDP01418	male	Bantu Kenya	Africa	Bantu in Kenya	NA	NA
HGDP01408	male	Bantu Kenya	Africa	Bantu in Kenya	NA	NA
HGDP01415	male	Bantu Kenya	Africa	Bantu in Kenya	NA	NA
HGDP01405	male	Bantu Kenya	Africa	Bantu in Kenya	NA	NA
HGDP01412	male	Bantu Kenya	Africa	Bantu in Kenya	NA	NA
HGDP01411	male	Bantu Kenya	Africa	Bantu in Kenya	NA	NA
HGDP01416	male	Bantu Kenya	Africa	Bantu in Kenya	NA	NA
HGDP01414	female	Bantu Kenya	Africa	Bantu in Kenya	LP6005441-DNA_B02	S_BantuKenya-2
HGDP01417	male	Bantu Kenya	Africa	Bantu in Kenya	LP6005443-DNA_A01	S_BantuKenya-1
HGDP01033	male	Bantu South Africa	Africa	Bantu in South Africa	NA	NA
HGDP00993	male	Bantu South Africa	Africa	Bantu in South Africa	NA	NA
HGDP00994	male	Bantu South Africa	Africa	Bantu in South Africa	NA	NA
HGDP01031	male	Bantu South Africa	Africa	Bantu in South Africa	NA	NA
HGDP01034	male	Bantu Tswana	Africa	Bantu Tswana in Botswana Or Namibia	LP6005443-DNA_F02	S_BantuTswana-2
HGDP01030	male	Bantu Tswana	Africa	Bantu Tswana in Botswana Or Namibia	LP6005443-DNA_G02	S_BantuTswana-1
HGDP01363	female	Basque	Europe	Basque in France	NA	NA
HGDP01368	female	Basque	Europe	Basque in France	NA	NA
HGDP01370	male	Basque	Europe	Basque in France	NA	NA
HGDP01375	male	Basque	Europe	Basque in France	NA	NA
HGDP01362	male	Basque	Europe	Basque in France	NA	NA
HGDP01367	female	Basque	Europe	Basque in France	NA	NA
HGDP01374	male	Basque	Europe	Basque in France	NA	NA
HGDP01379	male	Basque	Europe	Basque in France	NA	NA
HGDP01369	female	Basque	Europe	Basque in France	NA	NA
HGDP01371	male	Basque	Europe	Basque in France	NA	NA
HGDP01376	male	Basque	Europe	Basque in France	NA	NA
HGDP01357	male	Basque	Europe	Basque in France	NA	NA
HGDP01366	female	Basque	Europe	Basque in France	NA	NA
HGDP01373	female	Basque	Europe	Basque in France	NA	NA
HGDP01378	male	Basque	Europe	Basque in France	NA	NA
HGDP01380	female	Basque	Europe	Basque in France	NA	NA
HGDP01359	male	Basque	Europe	Basque in France	NA	NA
HGDP01361	male	Basque	Europe	Basque in France	NA	NA
HGDP01358	male	Basque	Europe	Basque in France	NA	NA
HGDP01360	male	Basque	Europe	Basque in France	NA	NA
HGDP01372	male	Basque	Europe	Basque in France	NA	NA
HGDP01377	male	Basque	Europe	Basque in France	NA	NA
HGDP01364	male	Basque	Europe	Basque in France	LP6005441-DNA_C02	S_Basque-1
HGDP01365	female	Basque	Europe	Basque in France	LP6005441-DNA_D02	S_Basque-2
HGDP00649	female	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00651	female	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00613	female	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00618	male	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00620	male	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00625	male	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00632	female	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00637	female	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00644	male	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00648	male	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00701	female	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00624	male	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00629	male	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00631	male	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00636	female	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00643	female	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00612	female	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00607	female	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00614	female	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00619	male	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00621	male	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00626	male	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00638	female	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00640	male	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00645	male	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00654	male	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00609	male	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00611	male	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00623	male	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00628	male	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00630	male	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00635	female	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00642	male	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00647	female	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00653	female	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00627	male	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00634	female	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00639	male	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00641	male	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00646	female	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00608	male	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00610	male	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00615	female	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00622	male	Bedouin	Middle East	Bedouin in Negev, Israel	NA	NA
HGDP00650	female	Bedouin	Middle East	Bedouin in Negev, Israel	LP6005441-DNA_F02	S_BedouinB-2
HGDP00616	male	Bedouin	Middle East	Bedouin in Negev, Israel	LP6005441-DNA_E02	S_BedouinB-1
HG03007	female	Bengali	South Asia	Bengali in Bangladesh	LP6005442-DNA_H09	S_Bengali-2
HG03006	male	Bengali	South Asia	Bengali in Bangladesh	LP6005442-DNA_G09	S_Bengali-1
HG03009	male	Bengali	South Asia	Bengali in Bangladesh	NA	NA
HG03008	male	Bengali	South Asia	Bengali in Bangladesh	NA	NA
HG03617	female	Bengali	South Asia	Bengali in Bangladesh	NA	NA
HG03585	male	Bengali	South Asia	Bengali in Bangladesh	NA	NA
HG03600	male	Bengali	South Asia	Bengali in Bangladesh	NA	NA
HG03605	female	Bengali	South Asia	Bengali in Bangladesh	NA	NA
HG03794	male	Bengali	South Asia	Bengali in Bangladesh	NA	NA
HG03799	female	Bengali	South Asia	Bengali in Bangladesh	NA	NA
HG03802	female	Bengali	South Asia	Bengali in Bangladesh	NA	NA
HG03807	female	Bengali	South Asia	Bengali in Bangladesh	NA	NA
HG03589	female	Bengali	South Asia	Bengali in Bangladesh	NA	NA
HG03596	male	Bengali	South Asia	Bengali in Bangladesh	NA	NA
HG03604	female	Bengali	South Asia	Bengali in Bangladesh	NA	NA
HG03611	female	Bengali	South Asia	Bengali in Bangladesh	NA	NA
HG03616	female	Bengali	South Asia	Bengali in Bangladesh	NA	NA
HG03814	female	Bengali	South Asia	Bengali in Bangladesh	NA	NA
HG03793	female	Bengali	South Asia	Bengali in Bangladesh	NA	NA
HG03821	male	Bengali	South Asia	Bengali in Bangladesh	NA	NA
HG03798	male	Bengali	South Asia	Bengali in Bangladesh	NA	NA
HG03826	female	Bengali	South Asia	Bengali in Bangladesh	NA	NA
HG03801	female	Bengali	South Asia	Bengali in Bangladesh	NA	NA
HG03833	male	Bengali	South Asia	Bengali in Bangladesh	NA	NA
HG03832	female	Bengali	South Asia	Bengali in Bangladesh	NA	NA
HG04134	male	Bengali	South Asia	Bengali in Bangladesh	NA	NA
HG03908	male	Bengali	South Asia	Bengali in Bangladesh	NA	NA
HG03910	female	Bengali	South Asia	Bengali in Bangladesh	NA	NA
HG03915	female	Bengali	South Asia	Bengali in Bangladesh	NA	NA
HG03922	female	Bengali	South Asia	Bengali in Bangladesh	NA	NA
HG04141	female	Bengali	South Asia	Bengali in Bangladesh	NA	NA
HG04146	male	Bengali	South Asia	Bengali in Bangladesh	NA	NA
HG04153	female	Bengali	South Asia	Bengali in Bangladesh	NA	NA
HG04158	male	Bengali	South Asia	Bengali in Bangladesh	NA	NA
HG04160	male	Bengali	South Asia	Bengali in Bangladesh	NA	NA
HG03806	male	Bengali	South Asia	Bengali in Bangladesh	NA	NA
HG03825	female	Bengali	South Asia	Bengali in Bangladesh	NA	NA
HG04177	female	Bengali	South Asia	Bengali in Bangladesh	NA	NA
