idx,gcp_service_id,gcp_service,gcp_total_cost,month,service_id,service,metamist_total_cost,diff
Seqr compute (distributed) Credit|202111|seqr,0,0,0.0,202111,seqr,Seqr compute (distributed) Credit,-2361.9049232789685,-2361.9049232789685
Seqr compute (distributed) Credit|202112|seqr,0,0,0.0,202112,seqr,Seqr compute (distributed) Credit,-32.54772996685164,-32.54772996685164
Seqr compute (distributed)|202109|seqr,0,0,0.0,202109,seqr,Seqr compute (distributed),355.3083832411675,355.3083832411675
Seqr compute (distributed)|202110|seqr,0,0,0.0,202110,seqr,Seqr compute (distributed),1983.6678821034989,1983.6678821034989
Seqr compute (distributed)|202111|seqr,0,0,0.0,202111,seqr,Seqr compute (distributed),2361.9049232789794,2361.9049232789794
Seqr compute (distributed)|202112|seqr,0,0,0.0,202112,seqr,Seqr compute (distributed),32.54772996685165,32.54772996685165
Stackdriver Logging|202107|5490-F7B7-8DF6,5490-F7B7-8DF6,Stackdriver Logging,10.628711,202107,5490-F7B7-8DF6,Stackdriver Logging,10.628711,0.0
Stackdriver Monitoring Credit|202108|seqr,0,0,0.0,202108,seqr,Stackdriver Monitoring Credit,-0.8942939999999999,-0.8942939999999999
Stackdriver Monitoring Credit|202109|seqr,0,0,0.0,202109,seqr,Stackdriver Monitoring Credit,-5.021766999999997,-5.021766999999997
Stackdriver Monitoring Credit|202110|seqr,0,0,0.0,202110,seqr,Stackdriver Monitoring Credit,0.0,0.0
Stackdriver Monitoring Credit|202111|seqr,0,0,0.0,202111,seqr,Stackdriver Monitoring Credit,0.0,0.0
Stackdriver Monitoring Credit|202112|seqr,0,0,0.0,202112,seqr,Stackdriver Monitoring Credit,0.0,0.0
Stackdriver Monitoring|202107|58CD-E7C3-72CA,58CD-E7C3-72CA,Stackdriver Monitoring,1.9220499999999996,202107,58CD-E7C3-72CA,Stackdriver Monitoring,1.9220499999999996,0.0
Stackdriver Monitoring|202108|58CD-E7C3-72CA,58CD-E7C3-72CA,Stackdriver Monitoring,5.346541999999999,202108,58CD-E7C3-72CA,Stackdriver Monitoring,4.452248,-0.8942939999999986
Stackdriver Monitoring|202108|seqr,0,0,0.0,202108,seqr,Stackdriver Monitoring,1.788588,1.788588
Stackdriver Monitoring|202109|58CD-E7C3-72CA,58CD-E7C3-72CA,Stackdriver Monitoring,5.021790999999999,202109,58CD-E7C3-72CA,Stackdriver Monitoring,2.4e-05,-5.021766999999999
Stackdriver Monitoring|202109|seqr,0,0,0.0,202109,seqr,Stackdriver Monitoring,10.043533999999996,10.043533999999996
